city_name,cluster,second_area
Львів,5,"Парк культури та відпочинку імені Богдана Хмельницького, Автовокзал Двірцевий, Львівський національний університет імені Івана Франка, Церква св. Анни УГКЦ, Клепарів, Фридрихівка, Краківський ринок, Пам'ятник королю Данилу Галицькому, Парк ім. Івана Франка, Театр ляльок, Храм Святих Ольги і Єлизавети, Old City Hostel, McDonald’s Чорновола, Готель Львів, Головний залізничний вокзал, Sport Life Героїв УПА, Львівська Політехніка, Собор Святого Юра, Медик, Форум Львів, Цирк, Палац культури ім. Гната Хоткевича, Вірменський собор, Пам'ятник Тарасові Шевченку, Скриня, Стадіон Торпедо, Львівська Національна Опера, Національний драматичний театр імені Марії Заньковецької, Гора Шембека, СКА, Вулька, Площа Ринок, Львівська ратуша, Сквер На валах, Пам'ятник Михайлові Грушевському, Стадіон Динамо, Домініканський собор"
Львів,6,"ПАТ ІСКРА, Санта Барбара, Пасiки-Міські, Авторинок Зелене коло, Галицький ярмарок, Сихiв, Сквер Іоанна Павла II, Новий Львів, Сихівський ліс, Майорівка, Гора Шембека, Козельники, Пирогiвка, Кінопалац ім. О. Довженка, Погулянка, Sport Life Зубрівська"
Миколаїв,0,"Богоявленський, Балабанівка, Жовтневе"
Миколаїв,1,"Соляні, Магелан, Північний ринок, Тернівка, Центр, Північний"
Миколаїв,2,"Зоопарк, Парк Юність, Проспект Миру, Новий Водопій, Нове Садівництво, ПТЗ, Ринок Колос, Слобідка, Автовокзал, Кульбакине"
Миколаїв,3,"Центральний міський стадіон, Намив, Парк Шевченка, Сухий фонтан, Сонячний, Музей суднобудування і флоту, Залізничний вокзал, Дикий Сад, Центральний ринок, McDonald’s, Театр драми та музичної комедії, Ліски, Дитяче містечко Казка, Стадіон Юність, Художній драматичний театр, Каштановий сквер, Центр, Соляні"
Миколаїв,4,"Марк плаза, Кафедральний Собор, ТРЦ City Center, Слобідка, Манганарівський сквер, Автовокзал, Авторинок, Парк Юність, Намив, Університет ім. Петра Могили, Центр, Народний сад, Військова Слобідка, ПТЗ, Левади, McDonald’s, Ліски, Адміралтейський парк, Театр драми та музичної комедії, Каштановий сквер, Художній драматичний театр"
Миколаїв,5,"Ліски, Намив, Ринок Штрассе, Ліски-2, Парк Ліски, Центр, Проспект Миру, Сухий фонтан"
Миколаїв,6,"Старий Водопій, 13-а Лінія, Проспект Миру"
Одеса,0,"Черемушки, Дмитрівка, Таїрова, Фонтан, Дача Ковалевського, Південний-Захід, Успенський монастир, Парк 411 батареї, Південний, ТЦ Мегадім, Золотий берег, Парк Перемоги, Шкільний, ТЦ ""Вузівський"", Київський ринок, Люстдорф, Чорноморка, Великий  фонтан, Суднобудівник сел., Сквер ім. Академіка Корольова, Вузівський мікрорайон, Парк ім. М. Горького, Черьомушки ринок, Чубаївка, ТЦ Панорама, Авіаційний завод, Пасаж Менделевичів, Чарівний світ, Таїровський цвинтар, Ринок Південний"
Одеса,1,"McDonald's, Котовского селище, ТЦ ""Атріум"", Молодіжний Сквер, Траса здоров'я, Парк на Кримській, РАЦС, Парк Ентузіастів, Автошкола ПЕГАС, Кримський бульвар, Парк Лузанівка, ТЦ Хвиля, Обласний пологовий будинок, Обласна лікарня, Метро, Луна-парк Colorito, Парк ім. Добровольського, ТЦ Екватор, Північний ринок, Денрарій ""Суворовський"", Пам'ятник парашутистам, Пішохідний міст, Міська дитяча лікарня №3, Лузанівка, Одеса-Сортувальна, Спортклуб ""Чемпіон"", Собор архангела Гавриїла, Слобідка"
Одеса,2,"Храм Св. Марії Магдалини, пл.10 Квітня, Парк Перемоги, Іподром, Пляж ""Курортний"", Отрада, Аркадія, Парк Юність, ТЦ ""ЦУМ Одеса"", Центр, Юридична академія, Траса здоров'я, Середній фонтан, Дерибасівська, Кіностудія, Суднобудівник сел., Великий  фонтан, Аграрний університет, Сквер 7-ї станції, Парк Обласної Ради, ТЦ Kadorr City Mall, Пляж Відрада, Куликове Поле, Олімпійський сквер, Стадіон Спартак, Парк Космонавтів, Академія харчових технологій, FlySim Авіатренажер, Парк ""Азербайджан"", ТЦ Сади Перемоги, Луна-парк «Одеса», Вузівський мікрорайон, Фонтан, Ланжерон, Південний, Аркадійська алея, Палац спорту, Малий фонтан, Стадіон Динамо, Пляж Калетон, Одеська політехніка, Пасаж Менделевичів, Одеса-порт, Молдаванка, Консульство Болгарії, ТРЦ Gagarinn Plaza, Таїрова, Старосінний сквер, Черемушки, Старе місто, Дача Ковалевського, Стадіон Чорноморець, Чубаївка, Зоопарк, ТЦ ""Новий Привоз"", ТЦ Fontan Sky Center"
Одеса,3,"Молдаванка, Музей ""Таємниці підземної Одеси"", Центр, Філармонія, ТЦ ""ЦУМ Одеса"", Старокінний ринок, Дерибасівська, Суднобудівник сел., Олімпійський сквер, Аркадія, Ближні млини, Новый ринок, Грецький парк, Морський університет, Старобазарний сквер, Слобідська, Соборна площа, Міська інфекційна лікарня, Малиновський ринок, ТЦ ""Новий Привоз"", Матроська слобода, ТЦ ""Галерея Афіна"", Старе місто, Херсонський сквер, Привоз, Хмари, Пасаж Менделевичів, Міська лікарня №10, Книжковий ринок, Художній музей, Міський сад, Преображенський парк, Одеська ТЕЦ, Сквер Георгія Гамова, Собор Різдва Христового, Слобідка-Воронцовка, Автовокзал, Дім клоунів, Fozzy, Зоопарк, Різдвяна, Сахалінчик, Черемушки, Театр опери і балету, Автоклуб TVERDOVSKY, ОК ""Одескабель"", Старосінний сквер, Драмтеатр ім. В.Василько, Дім Павлових, Траса здоров'я, Музей бетону, Храм Св. Димитрія Ростовського, Парк Перемоги, Одеса-порт, Пересип, Мечниківський сквер, Воронцовка, ТЦ ""Острів"", Парк ""Дюківський сад"", Обласний диспансер, Більшовик, Порт Одеса, Історичний центр, Одеса-Поїзна, Дюковський ЖМ, Слобідський ринок, Ветеринарна лікарня, Одеська політехніка, Фонтан, Отрада, Пляж Зерновий, Одеса-Пересип, Універсам Точка, Пересипський міст, Завод ""Сільхозмаш"", Солдатська слобідка"
Одеса,4,"Бугаївка, Курсаки, Черемушки, Площа Бориса Дерев'янка, Міська лікарня №11, Слобідка, Мікрон, Fozzy, Спортклуб ""Смайл"", Парк Перемоги, Обласна дитяча лікарня, Залізничний, Пейнтбольний клуб Headshot, Вишка, Застава-1, Застава-2, Черьомушки ринок, Хаджибеївка, Сквер Георгія Гамова, Парк Лузанівка, Музей ""Таємниці підземної Одеси"", Парк ""Дюківський сад"", Ближні млини, Обласний диспансер, Біопарк, Олімпійський сквер, Слобідський ринок, Молдаванка, ТЦ ""Лаванда"", Слобідка-Воронцовка, Ленселище, Малиновський ринок, Савицький парк, ТЦ ""Центральний Будинок меблів"", Цукрове сел, Крива Балка"
Полтава,0,"Алмазний, Ринок ""Станіславський"", PolAgroGym, Автовокзал, Алея Слави, Пушкарівка, ТЦ ""Валіза"", Центр Сімейної Медицини, Огнівка, ТЦ ""Паровоз"", Сади 1, Ринок на Алмазному, Сади 2, ТЦ ""Мир"", ТЦ ""Епіцентр"", Половки, Парк Воїнів-афганців, Універсам ""Полтава"""
Полтава,1,"Каштанова алея, ТРЦ ""Київ"", Стадіон ""Ворскла"", м-н Браїлки, ТЦ ""AVENUE"", Полтава-КиЇвська, Парк ""Незалежності"", Інститут Зв'язку, Павленківский парк, Юрівка, Колонія, Павленки, Центр, Боженка, McDonald's"
Полтава,2,"Поділ, Краєзнавчий музей, Стадіон ""Локомотив"", Левада, Дублянщина"
Полтава,3,"Парк ""Браїлки"", ГРЛ, Половки, м-н Браїлки, Авіамістечко, Завод ""ЗБВ"", Ринок Браїлки"
Полтава,4,"Боженка, McDonald's, ТРЦ ""Київ"", Алея Героїв"
Полтава,5,Центр
Полтава,6,"Сонячний парк, Кругла площа, Районна лікарня, Алмазний, Краєзнавчий музей, Центр, Педагогічний університет, ТЦ ""Метрополітен"", Стадіон ""Ворскла"", ТРЦ ""Конкорд"", ТЦ ""ЦУМ"", Театр ляльок, Архімандритський сад, Парк ""Перемога"", Парк ""Незалежності"", Пушкарівка"
Полтава,7,"Алмазний, Коледж нафти і газу, McDonald's, 4-а міська лікарня, Свято-Макарівський собор, Пров. Чайковського, Парк ім. Котляревського, Податкова інспекція, Sport Life"
Полтава,8,"Ринок Левада, 3-я міська поліклініка, Левада, Прирічковий парк, ТЦ ""Мир"", McDonald's, Everest Gym, Поділ"
Рівне,0,"Біла, Пивзавод, Епіцентр, Велмарт, Ювілейний, Костел св.Петра і Павла, Набережна, ТРЦ Екватор, ЦНАП Рівненської РДА, Свято-Георгіївське подвір'я, Аграрний коледж, Тинне, Центр, Пенсійний фонд"
Рівне,1,"Північний, Ринок Північний, Щасливе, Велмарт, Льонокомбінат, Sky UP, Біла, Пивзавод, Автостанція Чайка"
Рівне,2,"Щасливе, Відін, Новий Двір, Льонокомбінат"
Рівне,3,"Велмарт, Ювілейний, ТЦ Млинівський, ТЦ Скеля, ТРЦ Екватор, Динамо, Хімік"
Рівне,4,"Автовокзал, Тролейбусне управління, Радіозавод, Епіцентр, Центр, Зоопарк, 12 школа, Андріївський ринок, Відін, ТРЦ Арена"
Рівне,5,"Автостанція Чайка, Дитяча поліклініка, БарМаки, Ринок Північний, Північний, ТРЦ Чайка, Автовокзал"
Рівне,6,"Гідропарк, ТРЦ Чайка, Центр, Органний зал, Театр ляльок, Краєзнавчий музей, Майдан Незалежності, Парк Лебединка, ЦНАП у місті Рівному, ТЦ Мрія, Велмарт, Фітнес порт, Рівненська ОДА, Готель Мир, РДГУ, 12 школа, Father, Щасливе, РОІППО, Хімік, ТЦ Grand Базар, Алея кованих фігур, Ювілейний, Залізничний вокзал, Аміго, Музей бурштину"
Суми,0,"Сквер ім. Харитоненка, ТЦ ""Мануфактура"", Театр ім. М.С.Щепкіна, ТРЦ ""Лавина"", Засумське кладовище, EASY Smoky Bar, Храм Святого Миколая, Меморіал Вічної Слави, Центральний ринок, Філармонія, Пророко-Ільїнська церква, СК «Динамо», Сумський будівельний коледж, Спасо-Преображенський Собор, Завод ""СЕЛМІ"", 12 мікрорайон, Автостанція, Парк ім. І.М.Кожедуба"
Суми,1,"Тенісний корт, ТРЦ ""Лавина"", 12 мікрорайон, ТРЦ ""Атріум"", 10-й мікрорайон, Пляж ""Блакитні Озера"", 9-й мікрорайон, Парк ім. І.М.Кожедуба, ТЦ ""Епіцентр"""
Суми,2,"4-а поліклініка, Школа №22, Привокзальний ринок, Парк ""Веретенівський"", Веретенівка"
Суми,3,"Ринок ""СКД"", ТРЦ ""Лавина"", Пришибська площа, Школа №6, Сумський м'ясокомбінат, Сумський державний університет, Легкоатлетичний манеж, Парк ""Еко-парк"", ТЦ ""Центральний універмаг"", Стадіон ""Ювілейний"", Палац культури ""Хімік"""
Суми,4,Сумське НПО
Суми,5,"Сквер Небесної сотни, СНАУ, Меморіал Вічної Слави, ТРЦ ""Лавина"", Липова алея, СК ""Олімп"", Школа №25, Кадет. корпус ім. І.Г. Харитоненка, Меморіальний парк, Аеропорт"
Суми,6,"СК ""Авангард"", Вокзал, Парк ""Казка"", ТРЦ ""Євробазар"", Кінотеатр ""Дружба"", Сумське НПО, Троїцький собор, Стадіон ""Авангард"", ж/д станція ""Суми"", ТРЦ ""Лавина"", Майдан Незалежності"
Тернопіль,0,"Аляска, Канада, Сонячний, Гірськолижний курорт ""Савич-парк"", Північний, ТЦ ""Площа Ринок"", Центр, ДРЦ ""Країна мрій"", ТЦ ""Ray Tsentr"""
Тернопіль,1,"Дружба, ТЦ ""Весна"", McDonald's, Парк ""Здоровʼя"", Економічний університет, Лісопарк ""Загребелля"", Кутківці, Загребелля, Зоокуток, Центр"
Тернопіль,2,"Бакаїха, Оболоня, Дружба, Поділ, Церква Успіння Пр.Богородиці, Скрут, ТЦ ""Кристал"", Алігатор, ТЦ «PLAZMA», ТЦ ""Grand"", Речовий ринок, ТЦ ""Оболоня"", Центр, Замчище, ТЦ «Атріум», Старий парк, Автовокзал, Микулинецьке кладовище, Центральний міський ринок, ТЦ «Орнава»"
Тернопіль,3,"Північний, ТЦ ""Площа Ринок"", Сонячний, Аляска, Промисловий, Церква Св. Апостола Петра, ТРЦ ""Подоляни"""
Тернопіль,4,"Східний, Обласна дитяча лікарня, Стадіон ім. А.Шевченка, Співоче поле, Собор Віри, Надії, Любові та матері Софії, Аляска, ТЦ ""METRO"", Старий парк, Канада, Гаї"
Тернопіль,5,
Тернопіль,6,"Центр, Сонячний, Провалиха, Старий парк, Аляска, Бібліотека для молоді, Промисловий, Кінотеатр ""Злата"", Новий Світ, Канада, Стадіон ім. А.Шевченка, Спортивна база ""Спартак"", Тернопільський замок, Залізничний вокзал"
Ужгород,0,"ТЦ ""Епіцентр"", Готель ""Ужгород"", ТЦ ""Bozdosh"", Боздоський парк, Закарпатський Університет, Словʼянська набережна, ТЦ «Новий», ТЦ ""Арена"", ТРЦ ""Токіо"", Ужгородська гімназія, ТЦ ""Палладіум"""
Ужгород,1,
Ужгород,2,"Ринок ""Минайський"", Покровська церква, просп.Свободи, Промисловий, Готель ""Ужгород"", Словʼянська набережна, пл. Шандора Петефі, СК ""Юність"", Залізничний вокзал, Готель ""Інтурист Закарпаття"", ТРЦ ""Токіо"", Центр, Автовокзал, УТЕІ КНТЕУ, ТЦ ""Білочка"", Храм Христа Спасителя, Кінотеатр ""Доміон"", Радванка"
Ужгород,3,"Авангард стадіон, Компотний, Парк Ротарі, Міграційна служба, Національний університет, Парк Св.Тетяни, Обласна інфекційна лікарня, Аеропорт, БАМ, ТЦ «Дастор»"
Ужгород,4,"Міська дитяча лікарня, ТЦ ""Едельвейс"", ТЦ ""Ріо Плаза"", Готель ""Галагов"", Мала Прага, Готель ""Ізумруд"", Новий, Театр ляльок, Драмтеатр, ТЦ ""IDM Mall"", Академія мистецтв, Ужгородський замок, Цвинтар ""Кальварія"", Стадіон ""Спартак"", Доманинцi, Совине Гніздо, Шахта, Боздоський парк, Словʼянська набережна"
Ужгород,5,
Харків,0,"Залопань, Панасівка, Гончарівка, Рубанівка, парк Юність, Григорівський бір, Лиса гора, Гиївка, Південна залізниця, Григорівка, Карпівський сад, Карпівка, Залютине, Дудківка, Автостанція Привокзальна, Завод ім. Шевченка, Новий Побут, Локомотив, Пташиний ринок, Новожаново, Нова Баварія, Новоселівка, Филиппівка, Спортклуб ""Фенікс"", Парк Мирський Гай, Палац Залізничників"
Харків,1,"Нагірний, Молодіжний парк, Кінотеатр ""Palladium"", Архангело-Михайлівський храм, Цирк, Поділ, Центральний Ринок, Лопанська стрілка, Кінний ринок, ТРЦ Французький бульвар, Автовокзал, Велозаводський сквер, Рашкіна дача, ТРЦ Nikolsky, Харківський зоопарк, Левада, стадіон Металіст, Університет міського господарства, Москалівка, Майдан Захисників України, Заїківка, Центр, Жуковського, Сквер Стрілка, Університетська гірка, Червоний промінь, Залопань, Свято-Успенський собор, Захарків, Основа, Сад ім. Т. Шевченка, Журавлівка, Панасівка, Гончарівка"
Харків,2,"ХТЗ, Стадіон ХТЗ, Східний, Медичний центр ""Вікторія"", Новозахідний, Обрій-1, Старе Затишшя, Сонячний, 759-А м.р., Завод ""Електроважмаш"", парк Зелений гай, Рогань, Обрій, Воєнвід, Обрій-2, Спорткомплекс ""Зміна"""
Харків,3,"624 м.р., 535-А м.р., 656 м.р., Салтівка, 627 м.р., Перше Салтівське селище, 606-А м.р., 601 м.р., Салтівський м'ясокомбінат, Стара Салтівка, ТРЦ Французький бульвар, 604 м.р., Міська лікарня №7, Сад «ім. 50-річчя Жовтня», 602 м.р., 605 м.р., 603 м.р., 625 м.р., Барабашово, 626 м.р., Сабурова дача, Петренки, Кірова, Друге Салтівське селище, ТРК Україна, Серп і молот, 615 м.р., Парк Пам'яті, Нові будинки, Кулиничі, 606 м.р., парк Перемога, Пам'ятник Гвардійцям Широнінцям, Авторинок ""Барабашово"""
Харків,4,"Шатилівка, Журавлівка, Павлове поле, 6 м.р., Лісопарк, Соснова гірка, Держпром, Сокольники, 4 м.р., 5 м.р., Помірки, Університет радіоелектроніки, Саржин Яр, Павлівка, Харківський зоопарк, Нагірний, Іподром, Молодіжний парк, Сумський ринок, 1 м.р., парк ім. М. Горького, 2 м.р., 3 м.р., Лиса гора, Локомотив, 337 м.р., Іванівка"
Харків,5,"841 м.р., Нові будинки, Одеська, ЦНАП, 29 м.р., парк Машинобудівників, Аеропорт, 27 м.р., карʼєр Дружба, 24 м.р., Епіцентр, Архангело-Михайлівський храм, Левада, Артема, Качанівка, Стадіон ХТЗ, парк Зустріч, 25 м.р., 28 м.р., селище ім. Герцена, Основа, Комунальний ринок, Кінотеатр ""Київ"", ТРЦ Sun Mall, стадіон Металіст, Червоний промінь, Федірці, 27-А м.р., Аквапарк Джунглі"
Харків,6,"Олексіївка, Зелене, 338 м.р., 337 м.р., 4 м.р., Олексіївський лугопарк, 336 м.р., Лісопарк, ТРЦ Planeta Mall, 5 м.р., Жуковського, Інститут банківської справи, 339 м.р., П'ятихатки, Павлове поле, Обласна дитяча лікарня"
Харків,7,"524 м.р., 520 м.р., ТЦ ""Екватор"", 521 м.р., 606 м.р., Інтернаціоналіст, Шевченки, 533 м.р., 531 м.р., Урбан-парк, Північний-1 (Джерела), Лазьківка, Піски (522 м.р.), Північний-5, ТРЦ Караван, Північний-3, Жуковського, Журавлівка, Барабашово, Північний-4, Шишківка, 607 м.р., Журавлівський гідропарк, Новожаново, Кірова, ТРЦ ""Дафі"", Свято-Миколаївський храм, Салтівка, Спортклуб ""ADRENALIN"", 537 м.р., 535-А м.р., Північна Салтівка, Педагогічний університет, 606-А м.р., Північний-2, ТРЦ Французький бульвар, Аерокосмічний університет, 519 м.р."
Хмельницький,0,"ХНУ, Дальні Гречани, Дитяча лікарня, Південно-західний, Озерна, Дубове, Парк ім.Чекмана, Виставка, Аквапарк 7 океан, Ружична, Гречани, Стадіон Локомотив, Речовий ринок, Пляж, Центр"
Хмельницький,1,"Озерна, Виставка, ТЦ Агора, ТЦ Urban Street, Перший Парковий, Дивокрай, Ракове, ТЦ Ріко, Заготзерно, Дендропарк, Південно-західний, Парк ім.Чекмана, Центр"
Хмельницький,2,
Хмельницький,3,"Лезневе, Міська лікарня, Політехнічний коледж, Автовокзал, ТРЦ WoodMall, McDonald's, Старий Аеродром, Дубове, План, Заготзерно, Кавказ, Автовокзал 2, Залізничний вокзал, Виставка, ТЦ Агора, Заводський, Центр, Заріччя, Озерна, Дендропарк"
Хмельницький,4,
Хмельницький,5,"Філармонія, Дубове, ЦУМ, Заріччя, Пам'ятник Богдану Хмельницькому, Сквер ім. Івана Франка, Старе місто, Виставка, ТРЦ Оазис, Епіцентр, Поділ, Парк ім.Чекмана, ТЦ Ріко, Молодіжний парк, Набережна, Кавказ, ТРГК Либідь-Плаза, Дитячий світ, Театр ім. Михайла Старицького, Дитяча лікарня, Стадіон Поділля, ТЦ КVARTAL, Старий Аеродром, Політехнічний коледж, Центр, ТЦ Магніт, Відрадне, Південно-західний, Пляж, Міська лікарня, Станція Кам'янецький переїзд, Церква Різдва Пресвятої Богородиці, Продуктовий ринок, Озерна, Ракове"
Хмельницький,6,Дубове
Хмельницький,7,"Ракове, Тарабанівка, Книжківці, Лезневе, ТЦ Агора, Центр"
Черкаси,0,"Автомобільний ринок, Південно-Західний, ТЦ «Епіцентр», Завод ""Богдан"", Сквер ""Сонячний"", Ярославський ринок, Митниця"
Черкаси,1,"Парк ""Казка"", Припортовий, Черкаська набережна, Храм Андрія Первозванного, ТЦ ""Dnipro Plaza"", Пляж «Митницький», Митниця, Богданівський, Річковий вокзал, Ринок на Сєдова, Калиновий, Соборний"
Черкаси,2,"Кривалівка, Калиновий, Припортовий, ТЦ ""Прем'єр"", 700-річчя, Дніпровський, Парк ""Казка"", Ринок на Сєдова, Пров. Сєдова, П'ятихатки"
Черкаси,3,"Сквер Юність, Драмтеатр, Стадіон «Дніпро», ТЦ «Плазма», ТРЦ “Lubava”, Соборний, Центральний ринок, Соборна площа, Пляж «Смілянський», Художній музей, Центр, Парк ім. Б.Хмельницького, Казбет, Митниця, ЖД вокзал, Критий ринок, Свято-Михайлівський собор, ТЦ ""Хрещатик-Сіті"", ТЦ ""Будинок торгівлі"", Пляж «Митницький», Храм Андрія Первозванного, Богданівський, Парк ""Молодіжний"", Палац культури «Дружба народів», Автостанція ""Дашковича"""
Черкаси,4,"Парк ""Зелений гай"", Південно-Західний, Парк ""Спортивний"", Дахнівка"
Черкаси,5,"Парк ""Хіміків"", Південно-Західний, Хімселище, Парк ""Перемоги"", ЖД вокзал, Міська інфекційна лікарня"
Чернівці,0,"Монастирище, ТЦ ""Проспект"", пр-т Незалежності, Центральний парк ім. Т.Шевченка, Героїв Майдану, Центр, ТЦ ""Формаркет"", Клуб Energy"
Чернівці,1,пр-т Незалежності
Чернівці,2,"ТЦ ""Rika"", Гравітон, Гарячий Урбан, Аквапарк Family Park BBQ, Автовокзал"
Чернівці,3,"Університет ім. Ю.Федьковича, Центр, Кінотеатр ""Чернівці"", Комарова, Музей Володимира Івасюка, Парк Шиллера, Героїв Майдану, Залізничний вокзал, Театр ляльок, Свято-Миколаївський собор, Центральний парк ім. Т.Шевченка, Драмтеатр ім. О.Кобилянської, ТЦ ""Майдан"""
Чернівці,4,"Автовокзал, РЦ ""Країна Мрій"", Комарова, Стадіон ""Олімпія"""
Чернівці,5,"Героїв Майдану, Клокучка"
Чернівці,6,Садгора
Чернігів,0,"Стадіон ""Локомотив"", McDonald's, ТЦ ""Рояль"", Ринок ""Привокзальний"", Єлецький Успенський монастирь, Толстого, Чернігіввовна, СК ""Хімік"""
Чернігів,1,"Обласна лікарня, Летка, Боулінг-клуб ""Аватар"", Червоний Хутір, Ринок ""На бойовій"", Стріла, Парк ""Яловщина"", Ялівщина, Ремзавод"
Чернігів,2,"Парк ""Яловщина"", ТЦ ""Епіцентр"", ТРЦ ""HOLLYWOOD"", Ринок Нива"
Чернігів,3,"McDonald's, Масани, Нова Подусівка, Парк Масани, Велмарт, Забарівка"
Чернігів,4,"Колегіум ім. Т.Г.Шевченка, Районна лікарня, Чернігівська Політехніка, Ринок Нива, Центральний парк культури і відпочинку, м-н Савчука, Чезара"
Чернігів,5,"Красний міст, Міський Палац культури, Стадіон ""Юність"", Сквер ім. М.Попудренка, Свято-Михайлівський храм, ТЦ ""ЦУМ"", Обласна дитяча лікарня, Центральний ринок, Свято-воскресенський собор, Філармонія, Сквер ім. Б.Хмельницького, Площа Дружби Народів, Проспект Перемоги, Парк ""Чернігівський дитинець"", Стара Подусівка, Масани, Парк ""Мар'їн гай"", Червоний Хутір, Драмтеатр, ТЦ ""CENTRAL MALL"""
Чернігів,6,"ЗАЗ, СК ""Чернігів-Арена"""
